stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone
TAE:ST:AUTO$179466749,,"RTE DE LOUVIERS","",0,0,,,1,,0,
TAE:ST:AUTO$179466752,,"LIEROULT","",0,0,,,1,,0,
TAE:ST:AUTO$179466780,,"SEVESTRE AINE","",0,0,,,1,,0,
TAE:ST:AUTO$179466781,,"FRAENCKEL","",0,0,,,1,,0,
TAE:ST:AUTO$179466782,,"FLAVIGNY","",0,0,,,1,,0,
TAE:ST:AUTO$179466805,,"MARE AUX BOEUFS","",0,0,,,1,,0,
TAE:ST:AUTO$179466806,,"ECOLE ST EXUPERY","",0,0,,,1,,0,
TAE:ST:AUTO$179466811,,"EGLISE DE CAUDEBEC","",0,0,,,1,,0,
TAE:ST:AUTO$179466812,,"LA RUCHE","",0,0,,,1,,0,
TAE:ST:AUTO$179466813,,"CERISAIE","",0,0,,,1,,0,
TAE:ST:AUTO$179466814,,"RENAUDEL","",0,0,,,1,,0,
TAE:ST:AUTO$179466815,,"COUSTEAU","",0,0,,,1,,0,
TAE:ST:AUTO$179466816,,"EUGENE POTTIER","",0,0,,,1,,0,
TAE:ST:AUTO$179466817,,"LEO LAGRANGE","",0,0,,,1,,0,
TAE:ST:AUTO$179466818,,"MAIRIE DE CAUDEBEC","",0,0,,,1,,0,
TAE:ST:AUTO$179466969,,"LES CHENES","",0,0,,,1,,0,
TAE:ST:AUTO$179466970,,"CHARTRIER","",0,0,,,1,,0,
TAE:ST:AUTO$179466971,,"PERE FRETE","",0,0,,,1,,0,
TAE:ST:AUTO$179466972,,"PUITS A SILEX","",0,0,,,1,,0,
TAE:ST:AUTO$179466973,,"BREANT","",0,0,,,1,,0,
TAE:ST:AUTO$179466974,,"VAL CARON","",0,0,,,1,,0,
TAE:ST:AUTO$179466975,,"VERLAINE","",0,0,,,1,,0,
TAE:ST:AUTO$179466976,,"BOSC TARD","",0,0,,,1,,0,
TAE:ST:AUTO$179466977,,"ARGILIER","",0,0,,,1,,0,
TAE:ST:AUTO$179466978,,"BAUDELAIRE","",0,0,,,1,,0,
TAE:ST:AUTO$1863807268,,"BLERIOT","",0,0,,,1,,0,
TAE:ST:AUTO$1863807269,,"CARABACHET","",0,0,,,1,,0,
TAE:ST:AUTO$1863807273,,"PLACE FERRER","",0,0,,,1,,0,
TAE:ST:AUTO$1863807274,,"1695 ROUTE DES ROCHES","",0,0,,,1,,0,
TAE:ST:AUTO$1863807275,,"ALLEE DES PEUPLIERS","",0,0,,,1,,0,
TAE:ST:AUTO$1863807276,,"LES BOUTTIERES","",0,0,,,1,,0,
TAE:ST:AUTO$1863807277,,"GARE DE GRAND COURONNE","",0,0,,,1,,0,
TAE:ST:AUTO$1863807278,,"COLLEGE MATISSE","",0,0,,,1,,0,
TAE:ST:AUTO$1863807279,,"ROUTE DU BAC","",0,0,,,1,,0,
TAE:ST:AUTO$1886712989,,"GAGARINE","",0,0,,,1,,0,
TAE:ST:AUTO$1886712990,,"LA CROIX SAINT MARC","",0,0,,,1,,0,
TAE:ST:AUTO$1886712992,,"CHARCOT","",0,0,,,1,,0,
TAE:ST:AUTO$1886712993,,"BIBLIOTHEQUE GALILEE","",0,0,,,1,,0,
TAE:ST:AUTO$1886712994,,"ROUVRAY","",0,0,,,1,,0,
TAE:ST:AUTO$1886712995,,"NAVARRE","",0,0,,,1,,0,
TAE:ST:AUTO$1886712996,,"LES CELTES","",0,0,,,1,,0,
TAE:ST:AUTO$2004969548,,"CHAMP DE FOIRE","",0,0,,,1,,0,
TAE:ST:AUTO$2004969773,,"NORMANDIE","",0,0,,,1,,0,
TAE:ST:AUTO$2004969774,,"EGLANTINES","",0,0,,,1,,0,
TAE:ST:AUTO$2004969775,,"SOLOGNE","",0,0,,,1,,0,
TAE:ST:AUTO$2004969776,,"POIRIERS","",0,0,,,1,,0,
TAE:ST:AUTO$2004969777,,"THEATRE DES ARTS","",0,0,,,1,,0,
TAE:ST:AUTO$2004969780,,"JEAN MOULIN","",0,0,,,1,,0,
TAE:ST:AUTO$2027875490,,"ROUTE DU BAC","",0,0,,,1,,0,
TAE:ST:AUTO$2027875491,,"MAIRIE DE MOULINEAUX","",0,0,,,1,,0,
TAE:ST:AUTO$2027875492,,"VICTOR HUGO","",0,0,,,1,,0,
TAE:ST:AUTO$2027875493,,"CAMELIAS","",0,0,,,1,,0,
TAE:ST:AUTO$2027875494,,"ALLEE DES SOURCES","",0,0,,,1,,0,
TAE:ST:AUTO$2027875495,,"2249 ROUTE DES ROCHES","",0,0,,,1,,0,
TAE:ST:AUTO$2027875496,,"COQ GAULOIS","",0,0,,,1,,0,
TAE:ST:AUTO$2027875500,,"CIRCUIT AUTO","",0,0,,,1,,0,
TAE:ST:AUTO$2027875501,,"BOULEVARD MARITIME","",0,0,,,1,,0,
TAE:ST:AUTO$2052023940,,"EMILE ZOLA","",0,0,,,1,,0,
TAE:ST:AUTO$2052023941,,"COLLEGE JEAN RENOIR","",0,0,,,1,,0,
TAE:ST:AUTO$2052023942,,"SAINT WANDRILLE","",0,0,,,1,,0,
TAE:ST:AUTO$2052023943,,"GEORGES BRAQUE","",0,0,,,1,,0,
TAE:ST:AUTO$2052023944,,"STADE DIOCHON","",0,0,,,1,,0,
TAE:ST:AUTO$2052023945,,"COLLEGE CHARCOT","",0,0,,,1,,0,
TAE:ST:AUTO$2052023946,,"CAPITAINE FONCK","",0,0,,,1,,0,
TAE:ST:AUTO$2052023947,,"QUESNOT PERREUSE","",0,0,,,1,,0,
TAE:ST:AUTO$2146132049,,"MANDELA","",0,0,,,1,,0,
TAE:ST:AUTO$320629048,,"ROND POINT GUYNEMER","",0,0,,,1,,0,
TAE:ST:AUTO$320629049,,"ROBERT LE DIABLE","",0,0,,,1,,0,
TAE:ST:AUTO$320629051,,"PLACE SAINT SEVER","",0,0,,,1,,0,
TAE:ST:AUTO$320629052,,"GOUBERT","",0,0,,,1,,0,
TAE:ST:AUTO$320629053,,"SACHA GUITRY","",0,0,,,1,,0,
TAE:ST:AUTO$320629054,,"PETIT PRINCE","",0,0,,,1,,0,
TAE:ST:AUTO$320629055,,"JEAN LURCAT","",0,0,,,1,,0,
TAE:ST:AUTO$320629080,,"LE HAMEL","",0,0,,,1,,0,
TAE:ST:AUTO$320629081,,"CASANOVA","",0,0,,,1,,0,
TAE:ST:AUTO$320629082,,"LE SAULE","",0,0,,,1,,0,
TAE:ST:AUTO$320629083,,"MARCHE","",0,0,,,1,,0,
TAE:ST:AUTO$320629084,,"EDITH PIAF","",0,0,,,1,,0,
TAE:ST:AUTO$320629085,,"LA RAQUETTE","",0,0,,,1,,0,
TAE:ST:AUTO$320629086,,"GUSTAVE PICARD","",0,0,,,1,,0,
TAE:ST:AUTO$320629087,,"POLE MULTIMODAL DE OISSEL","",0,0,,,1,,0,
TAE:ST:AUTO$320629090,,"LES DEVISES","",0,0,,,1,,0,
TAE:ST:AUTO$320629091,,"VAL RENOUX","",0,0,,,1,,0,
TAE:ST:AUTO$320629240,,"MAIRIE DE ST PIERRE","",0,0,,,1,,0,
TAE:ST:AUTO$320629241,,"MARIE SAMSON","",0,0,,,1,,0,
TAE:ST:AUTO$320629248,,"FELIX FAURE","",0,0,,,1,,0,
TAE:ST:AUTO$320629249,,"LAMARTINE","",0,0,,,1,,0,
TAE:ST:AUTO$320629251,,"Z.I. L OISON","",0,0,,,1,,0,
TAE:ST:AUTO$320629272,,"ST CYR","",0,0,,,1,,0,
TAE:ST:AUTO$320629273,,"PARC ST CYR","",0,0,,,1,,0,
TAE:ST:AUTO$320629280,,"CHAMP DE FOIRE","",0,0,,,1,,0,
TAE:ST:AUTO$320629281,,"LYCEE MAUROIS","",0,0,,,1,,0,
TAE:ST:AUTO$320629283,,"LIBERTE","",0,0,,,1,,0,
TAE:ST:AUTO$320629287,,"BOUT DU GARD","",0,0,,,1,,0,
TAE:ST:AUTO$320629306,,"MITTERRAND","",0,0,,,1,,0,
TAE:ST:AUTO$320629307,,"CHARLES MOUCHEL","",0,0,,,1,,0,
TAE:ST:AUTO$320629312,,"GARE DE ST AUBIN","",0,0,,,1,,0,
TAE:ST:AUTO$320629313,,"D. ROCHEREAU","",0,0,,,1,,0,
TAE:ST:AUTO$320629314,,"CITE BLIN","",0,0,,,1,,0,
TAE:ST:AUTO$320629315,,"PONT PASTEUR","",0,0,,,1,,0,
TAE:ST:AUTO$320629316,,"LA POSTE","",0,0,,,1,,0,
TAE:ST:AUTO$320629317,,"EGLISE ST JEAN","",0,0,,,1,,0,
TAE:ST:AUTO$320629318,,"DOC. PAIN","",0,0,,,1,,0,
TAE:ST:AUTO$320629319,,"POINTE A JOJO","",0,0,,,1,,0,
TAE:ST:AUTO$320629380,,"PERIGA","",0,0,,,1,,0,
TAE:ST:AUTO$320629415,,"GRIFEUIL","",0,0,,,1,,0,
TAE:ST:AUTO$320629441,,"GANTOIS","",0,0,,,1,,0,
TAE:ST:AUTO$320629442,,"MAIRIE ST AUBIN","",0,0,,,1,,0,
TAE:ST:AUTO$320629447,,"ESPACE DES FOUDRIOTS","",0,0,,,1,,0,
TAE:ST:AUTO$320629470,,"JULES VERNE","",0,0,,,1,,0,
TAE:ST:AUTO$320629472,,"J.E. BLANCHE","",0,0,,,1,,0,
TAE:ST:AUTO$320629473,,"GALBOIS","",0,0,,,1,,0,
TAE:ST:AUTO$320629474,,"LA VILLETTE","",0,0,,,1,,0,
TAE:ST:AUTO$320629475,,"SAULNIERS","",0,0,,,1,,0,
TAE:ST:AUTO$320629476,,"ECHANTILLONNEURS","",0,0,,,1,,0,
TAE:ST:AUTO$320629477,,"ESPACE CORTO MALTESE","",0,0,,,1,,0,
TAE:ST:AUTO$320629479,,"PORTE VERTE","",0,0,,,1,,0,
