route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
TCAR:06,TCAR,"F6","Les Bouttières <> Gare de Saint-Etienne","",3,,00ACE5,ffffff
TCAR:07,TCAR,"F7","La Pléiade <> Hôtel de Ville de Sotteville","",3,,008F5B,ffffff
TCAR:08,TCAR,"F8","Lycée du Cailly <> Tamarelle","",3,,0090D7,ffffff
TCAR:10,TCAR,"10","Maromme La Maine <> Lycée Flaubert","",3,,F8AE4C,1d1d1b
TCAR:11,TCAR,"11","Collège L. de Vinci <> Ile Lacroix","",3,,00ACE5,ffffff
TCAR:13,TCAR,"13","Martainville <> École de Musique","",3,,F8AE4C,1d1d1b
TCAR:14,TCAR,"14","Mont Pilon <> Mairie de Belbeuf","",3,,00ACE5,ffffff
TCAR:15,TCAR,"15","Jules Verne <> Grand Val","",3,,74B95B,1d1d1b
TCAR:20,TCAR,"20","Le Chapître <> Mairie de Saint-Aubin-Épinay","",3,,C29FCB,1d1d1b
TCAR:201,TCAR,"201","Rue d'Hectot / Salle des Fêtes <> Collège Gustave Flaubert","",3,,FDC300,1d1d1b
TCAR:202,TCAR,"202","Le Maupas - Ferme du Tronc <> Collège Gustave Flaubert","",3,,FDC300,1d1d1b
TCAR:203,TCAR,"203","L'Orvason <> Collège Gustave Flaubert","",3,,FDC300,1d1d1b
TCAR:204,TCAR,"204","Bois de la Fontaine <> Collège Gustave Flaubert","",3,,FDC300,1d1d1b
TCAR:205,TCAR,"205","Le Paulu - Usine Oxford <> Collège Gustave Flaubert","",3,,FDC300,1d1d1b
TCAR:206,TCAR,"206","Rue Saint-Jean <> Collège Gustave Flaubert","",3,,FDC300,1d1d1b
TCAR:207,TCAR,"207","Abbaye de Jumièges <> Collège Gustave Flaubert","",3,,FDC300,1d1d1b
TCAR:208,TCAR,"208","Calumet <> Collège Gustave Flaubert","",3,,FDC300,1d1d1b
TCAR:210,TCAR,"210","Ronceray <> Collège Charcot","",3,,FDC300,1d1d1b
TCAR:211,TCAR,"211","La Chanteraine <> Collège Charcot","",3,,FDC300,1d1d1b
TCAR:212,TCAR,"212","Terrain de Pétanque <> Collège Charcot","",3,,FDC300,1d1d1b
TCAR:213,TCAR,"213","La Maison Blanche <> Collège Charcot","",3,,FDC300,1d1d1b
TCAR:214,TCAR,"214","Le Genetey / Roumardière <> Collège Le Cèdre / Collège Ste-Marie","",3,,FDC300,1d1d1b
TCAR:22,TCAR,"22","Parc de la Vatine <> Barrières de Darnétal","",3,,F4A3AF,1d1d1b
TCAR:220,TCAR,"220","École J.Y. Cousteau <>","",3,,FDC300,1d1d1b
TCAR:221,TCAR,"221","Ecole d'Épinay <>","",3,,FDC300,1d1d1b
TCAR:222,TCAR,"222","Guillaume Le Conquérant <> École de Jumièges","",3,,FDC300,1d1d1b
TCAR:223,TCAR,"223","Le Pont des Vieux <> École Jacques Prévert","",3,,FDC300,1d1d1b
TCAR:224,TCAR,"224","Le Bas Aulnay <> École Primaire de Saint-Paër","",3,,FDC300,1d1d1b
TCAR:225,TCAR,"225","Mairie - École d'Yville <>","",3,,FDC300,1d1d1b
TCAR:227,TCAR,"227","École Malraux <>","",3,,FDC300,1d1d1b
TCAR:228,TCAR,"228","École Malraux <>","",3,,FDC300,1d1d1b
TCAR:229,TCAR,"229","Église du Trait <> École Maupassant","",3,,FDC300,1d1d1b
TCAR:27,TCAR,"27","Théâtre des Arts <> Bel Air","",3,,74B95B,1d1d1b
TCAR:28,TCAR,"28","Louise Michel <> Bois Tison","",3,,F4A3AF,1d1d1b
TCAR:300,TCAR,"300","Lycée Flaubert <> Epinay","",3,,FDC300,1d1d1b
TCAR:301,TCAR,"301","Lycée Flaubert <> Bois Breton","",3,,FDC300,1d1d1b
TCAR:302,TCAR,"302","Lycée Grieu <> Boulingrin","",3,,FDC300,1d1d1b
TCAR:303,TCAR,"303","Route d'Isneauville <> Lycée Flaubert / Coll. St-Victrice","",3,,FDC300,1d1d1b
TCAR:305,TCAR,"305","Lycée Flaubert <> Petit Pont","",3,,FDC300,1d1d1b
TCAR:310,TCAR,"310","Pôle Multimodal-Cotoni <>  Lycée des Bruyères / Lycée Elisa Lemonnier","",3,,FDC300,1d1d1b
TCAR:311,TCAR,"311","Lycée Val de Seine <> Pôle Multimodal-Cotoni / Champ de Foire","",3,,FDC300,1d1d1b
TCAR:313,TCAR,"313","Collège E. Branly <> Coopérateurs","",3,,FDC300,1d1d1b
TCAR:314,TCAR,"314","La Houssière <> Lycée des Bruyères","",3,,FDC300,1d1d1b
TCAR:315,TCAR,"315","Les Bouttières <> Lycée des Bruyères","",3,,FDC300,1d1d1b
TCAR:322,TCAR,"322","Collège Lucie Aubrac <> Siamoisiers","",3,,FDC300,1d1d1b
TCAR:33,TCAR,"33","François Truffaut <> Hôtel de Ville de Sotteville","",3,,00A983,ffffff
TCAR:330,TCAR,"330","Lycée Galilée <> Long Corbeil","",3,,FDC300,1d1d1b
TCAR:331,TCAR,"331","La Providence <> Eauplet","",3,,FDC300,1d1d1b
TCAR:332,TCAR,"332","Lycée Galilée / La Providence / Collège Malot <> Mairie de Montmain","",3,,FDC300,1d1d1b
TCAR:333,TCAR,"333","Lycée Galilée / La Providence <> Château Anquetil","",3,,FDC300,1d1d1b
TCAR:334,TCAR,"334","Lycée Galilée / Collège Malot  <> Ecole Mendès-France","",3,,FDC300,1d1d1b
TCAR:335,TCAR,"335","Lycée Galilée / La Providence / Collège Malot <> Allée du Couvent","",3,,FDC300,1d1d1b
TCAR:336,TCAR,"336","Collège Verhaeren <> Mairie de Belbeuf","",3,,FDC300,1d1d1b
TCAR:340,TCAR,"340","Forgettes <> Boulingrin","",3,,FDC300,1d1d1b
TCAR:341,TCAR,"341","Collège Rousseau <> Epinay","",3,,FDC300,1d1d1b
TCAR:342,TCAR,"342","Collège Rousseau <> Bois Breton","",3,,FDC300,1d1d1b
TCAR:343,TCAR,"343","Collège Chartier <> Mont Pilon","",3,,FDC300,1d1d1b
TCAR:35,TCAR,"35","Sente d'Houdeville <> Ecole Moulin","",3,,D3D800,1d1d1b
TCAR:350,TCAR,"350","Place Alexandre <> Collège Gounod","",3,,FDC300,1d1d1b
TCAR:351,TCAR,"351","Collège Gounod <> Place du Général de Gaulle","",3,,FDC300,1d1d1b
TCAR:36,TCAR,"36","Boulingrin <> Coteaux du Larmont","",3,,D3D800,1d1d1b
TCAR:360,TCAR,"360","Paul Eluard <> Collège Jean Zay","",3,,FDC300,1d1d1b
TCAR:361,TCAR,"361","Hameau Saint-Maurice <> Collège Jean Zay","",3,,FDC300,1d1d1b
TCAR:363,TCAR,"363","Lycée du Cailly <> Maromme La Maine","",3,,FDC300,1d1d1b
TCAR:364,TCAR,"364","Lycée du Cailly <> Place du Vivier","",3,,FDC300,1d1d1b
TCAR:37,TCAR,"37","Plaine de la Ronce <> Les Bosquets ou Hauts Poiriers","",3,,D3D800,1d1d1b
TCAR:38,TCAR,"38","Coteaux Branly <> Mairie de Montmain","",3,,D3D800,1d1d1b
TCAR:401,TCAR,"401","Ascenseurs Palais de Justice","",3,,e6007e,ffffff
TCAR:402,TCAR,"402","Escalators Palais de Justice","",3,,e6007e,ffffff
TCAR:403,TCAR,"403","Ascenseurs Joffre-Mutualité","",3,,e6007e,ffffff
TCAR:404,TCAR,"404","Ascenseurs Théâtre des Arts","",3,,e6007e,ffffff
TCAR:405,TCAR,"405","Ascenseurs Gare-Rue Verte","",3,,e6007e,ffffff
TCAR:406,TCAR,"406","Escalators Gare-Rue Verte","",3,,e6007e,ffffff
TCAR:407,TCAR,"407","Ascenseurs Beauvoisine","",3,,e6007e,ffffff
TCAR:41,TCAR,"41","Ancienne Mare <> Vente Olivier","",3,,F8AE4C,1d1d1b
TCAR:42,TCAR,"42","Lebon <> La Houssière","",3,,A2559D,ffffff
TCAR:43,TCAR,"43","Longs Vallons <> Place du Vivier","",3,,9BD5E3,1d1d1b
TCAR:44,TCAR,"44","E. Lacroix <> Chapelle Saint-Siméon","",3,,9BD5E3,1d1d1b
TCAR:529,TCAR,"529","Route de Montville <> Gare Routière de Rouen","",3,,9BD5E3,1d1d1b
TCAR:90,TCAR,"Métro","Boulingrin <> Georges Braque / Technopôle","",1,,123E8B,ffffff
TCAR:91,TCAR,"T1","Mont aux Malades <> CHU Charles Nicolle","",3,,E63027,ffffff
TCAR:92,TCAR,"T2","Mairie - V. Schoelcher <> Tamarelle","",3,,008F5B,ffffff
TCAR:93,TCAR,"T3","Monet <> Durécu-Lavoisier","",3,,6D1C74,ffffff
TCAR:94,TCAR,"T4","Marie Curie - MTC <> Zénith-Parc Expo","",3,,F5C500,1d1d1b
TCAR:98,TCAR,"Noctambus","La Pléiade <> Cateliers","",3,,29235C,ffde00
TCAR:99,TCAR,"Calypso","Calypso","",4,,0bbbef,ffffff
TNI:26,TNI,"26","Salle des Fêtes de Saint-Pierre-de-Varengeville  Mont-Riboudet","",3,,0069b3,FFFFFF
TNI:530,TNI,"530","Caudebec Quai  Gare Routière de Rouen","",3,,e30713,FFFFFF
