route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,shape_id
TCAR:407,REGEN_32,TCAR:23198:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23199:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:92,REGEN_2979,TCAR:232:1602837,"","",1,,0,0,TCAR:AUTO_2587375
TCAR:407,REGEN_32,TCAR:23200:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23201:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23202:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23203:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23204:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23205:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23206:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23207:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23208:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23209:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23210:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23211:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23212:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23213:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23214:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23215:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23216:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23217:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23218:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23219:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23220:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23221:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23222:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23223:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23224:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23225:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23226:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23227:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23228:1602823,"","",1,,0,0,TCAR:CALC_2587331
TCAR:407,REGEN_32,TCAR:23229:1602823,"","",1,,0,0,TCAR:CALC_2587331
